Company,Ticker,Sector
3i,III,Financial services
Admiral Group,ADM,Insurance
Airtel Africa,AAF,Telecommunications services
Alliance Witan,ALW,Investment Trusts
Anglo American plc,AAL,Mining
Antofagasta plc,ANTO,Mining
Ashtead Group,AHT,Support services
Associated British Foods,ABF,Food & tobacco
AstraZeneca,AZN,Pharmaceuticals & biotechnology
Auto Trader Group,AUTO,Media
Aviva,AV,Life insurance
Babcock International,BAB,Aerospace & defence
BAE Systems,BA,Aerospace & defence
Barclays,BARC,Banks
Barratt Redrow,BTRW,Household goods & home construction
Beazley,BEZ,Insurance
Berkeley Group Holdings,BKG,Household goods & home construction
BP,BP,Oil & gas producers
British American Tobacco,BATS,Tobacco
BT Group,BT-A,Telecommunications services
Bunzl,BNZL,Support services
Centrica,CNA,Multiline utilities
Coca-Cola Europacific Partners,CCEP,Beverages
Coca-Cola HBC,CCH,Beverages
Compass Group,CPG,Support services
Convatec,CTEC,Health care equipment & supplies
Croda International,CRDA,Chemicals
DCC plc,DCC,Support services
Diageo,DGE,Beverages
Diploma,DPLM,Industrial Support services
Endeavour Mining,EDV,Precious Metals and Mining
Entain,ENT,Travel & leisure
EasyJet,EZJ,Travel & leisure
Experian,EXPN,Support services
F & C Investment Trust,FCIT,Collective investments
Fresnillo plc,FRES,Mining
Games Workshop,GAW,Leisure Goods
Glencore,GLEN,Mining
GSK plc,GSK,Pharmaceuticals & biotechnology
Haleon,HLN,Pharmaceuticals & biotechnology
Halma plc,HLMA,Electronic equipment & parts
Hikma Pharmaceuticals,HIK,Pharmaceuticals & biotechnology
Hiscox,HSX,Non-life Insurance
Howdens Joinery,HWDN,Homebuilding & construction supplies
HSBC,HSBA,Banks
IHG Hotels & Resorts,IHG,Travel & leisure
IMI,IMI,"Machinery, tools, heavy vehicles, trains & ships"
Imperial Brands,IMB,Tobacco
Informa,INF,Media
Intermediate Capital Group,ICG,Financial services
International Airlines Group,IAG,Travel & leisure
Intertek,ITRK,Support services
JD Sports,JD,General retailers
Kingfisher plc,KGF,Retailers
Land Securities,LAND,Real estate investment trusts
Legal & General,LGEN,Life insurance
Lloyds Banking Group,LLOY,Banks
LondonMetric Property,LMP,Real Estate Investment Trusts
London Stock Exchange Group,LSEG,Financial services
M&G,MNG,Financial services
Marks & Spencer,MKS,Food & drug retailing
Melrose Industries,MRO,Aerospace & defence
Mondi,MNDI,Containers & packaging
National Grid plc,NG,Multiline utilities
NatWest Group,NWG,Banks
Next plc,NXT,General retailers
Pearson plc,PSON,Media
Pershing Square Holdings,PSH,Financial services
Persimmon,PSN,Household goods & home construction
Phoenix Group,PHNX,Life insurance
Polar Capital Technology Trust,PCT,Investment trusts
Prudential plc,PRU,Life insurance
Reckitt,RKT,Household goods & home construction
RELX,REL,Media
Rentokil Initial,RTO,Support services
Rightmove,RMV,Media
Rio Tinto,RIO,Mining
Rolls-Royce Holdings,RR,Aerospace & defence
Sage Group,SGE,Software & computer services
Sainsbury's,SBRY,Food & drug retailing
Schroders,SDR,Financial services
Scottish Mortgage Investment Trust,SMT,Collective investments
Segro,SGRO,Real estate investment trusts
Severn Trent,SVT,Multiline utilities
Shell plc,SHEL,Oil & gas producers
Smiths Group,SMIN,General industrials
Smith & Nephew,SN,Health care equipment & supplies
Spirax Group,SPX,Industrial engineering
SSE plc,SSE,Electrical utilities & independent power producers
Standard Chartered,STAN,Banks
St. James's Place,STJ,Financial services
Taylor Wimpey,TW,Household goods & home construction
Tesco,TSCO,Food & drug retailing
Unilever,ULVR,Personal goods
United Utilities,UU,Multiline utilities
Unite Group,UTG,Real estate investment trusts
Vodafone Group,VOD,Mobile telecommunications
Weir Group,WEIR,Industrial goods and services
Whitbread,WTB,Retail hospitality
WPP,WPP,Media
